,lat,long,cluster
0,17.378894588428974,78.46397328339408,0
1,17.403220921129257,78.46872909732845,2
2,17.399714984098786,78.46288084900512,2
3,17.359299743829105,78.47161740649624,0
4,17.388893979984353,78.48057795543552,2
5,17.368661119712183,78.4755724156713,0
6,17.395579239983725,78.44270096891786,1
7,17.40067830505242,78.48857489055783,2
8,17.38808781386729,78.48113363131787,2
9,17.42101717782916,78.44747414471229,1
10,17.424764452273635,78.42960023866024,1
11,17.404283602919396,78.48145782683908,2
12,17.419383551461067,78.46530662997712,2
13,17.399595277716383,78.47856581533269,2
14,17.40140986703394,78.48567190017107,2
15,17.424802013516064,78.42195498785948,1
16,17.437151274600346,78.45430121130967,1
17,17.42361173288638,78.46254087011502,2
18,17.347899125874683,78.47098648138511,0
19,17.41740061095305,78.44321896565191,1
20,17.43586817493973,78.45744348829194,1
21,17.38848471244846,78.47950940403636,2
22,17.33011795505642,78.46745955062218,0
23,17.427354844491806,78.45215920349425,1
24,17.407905426632215,78.44242527528617,1
25,17.432374144194686,78.4575851947717,1
26,17.44349840742226,78.4605560466047,1
27,17.364132006800244,78.4737710680256,0
28,17.428535674867554,78.43962029681225,1
29,17.432514031982514,78.45735255628313,1
30,17.425615113215137,78.42033732061138,1
31,17.42562428065777,78.40862090573665,1
32,17.41941894752865,78.44813367018776,1
33,17.393580769443158,78.40418797111813,1
34,17.416999191953632,78.41634448984544,1
35,17.430822635000705,78.40803920969422,1
36,17.434458613440583,78.41325115888692,1
37,17.423382481168716,78.4316029374791,1
38,17.43174022957439,78.40806504610934,1
39,17.43222441400597,78.41873742742467,1
40,17.423816625946916,78.48725662547521,2
41,17.425369306106653,78.42506280194094,1
42,17.40636911819762,78.49766214602543,2
43,17.383858363285963,78.40326956582726,1
44,17.4238674737812,78.41291756105024,1
45,17.42884008623762,78.40979271610152,1
46,17.397860357476226,78.4927004505888,2
47,17.44338406705275,78.47993858826702,4
48,17.429561619676313,78.39265989389024,3
49,17.429835312610177,78.40965703631076,1
50,17.361554582179913,78.4746766090393,0
51,17.384716084990487,78.48315238952637,2
52,17.409018596636187,78.47739500486313,2
53,17.42513320197841,78.43331370485603,1
54,17.43325368515647,78.4261907195188,1
55,17.3962770409263,78.42509351818353,1
56,17.413053540138872,78.46557776173361,2
57,17.43688324535533,78.39837789376705,3
58,17.433609785371868,78.38620662689209,3
59,17.43419071980442,78.38682893434203,3
60,17.44008112919533,78.48429328395487,4
61,17.401319342486886,78.48587224050527,2
62,17.442353871428587,78.3817903621366,3
63,17.43849792216121,78.39795566970398,3
64,17.44223372778392,78.38129953740987,3
65,17.371772876032033,78.48063608872398,0
66,17.44941554032092,78.37874222070519,3
67,17.35077780460011,78.45139601336027,0
68,17.406529633678563,78.49515002099652,2
69,17.37282922779118,78.49929806426952,0
70,17.445310288369598,78.3858546089216,3
71,17.40140091064456,78.48565251505636,2
72,17.330541924857116,78.46751017322111,0
73,17.43865930357311,78.39920911861168,3
74,17.40487190585861,78.4765625180688,2
75,17.44184420016073,78.48735433030141,4
76,17.433842419566925,78.36908947678856,3
77,17.44124462067102,78.49329629411953,4
78,17.442922267637446,78.35730200547428,3
79,17.45979413402726,78.3686080183946,3
80,17.44714419968862,78.3839754979368,3
81,17.44149781635044,78.49130789138479,4
82,17.448181138466044,78.37874361388971,3
83,17.441495115944893,78.4878372271831,4
84,17.44075847619752,78.48671832238533,4
85,17.44096929346275,78.50349783617598,4
86,17.40227863319409,78.477164957759,2
87,17.447290744516415,78.38396639143828,3
88,17.403184566991623,78.48006955393609,2
89,17.361122238486274,78.52321512540667,0
90,17.442356689880704,78.49034788791927,4
91,17.484023845989462,78.38951586383997,3
92,17.45728215392065,78.53682348691787,4
93,17.487673346331192,78.54279287522861,4
94,17.443108320637883,78.50717690782656,4
95,17.44071843702911,78.4970804111213,4
96,17.422014480942593,78.33835141925407,3
97,17.456899402827265,78.50843434632971,4
98,17.388673812598803,78.31622180503484,3
99,17.45737932852447,78.36372273216537,3
